seq_tot,tip_tot,variavel,especie_cod,especie,local_cod,localidade,exploracoes,propriedades,total,machos,femeas,m_0a12,f_0a12,m_13a24,f_13a24,m_25a36,f_25a36,m_maisde36,f_maisde36,prop_1_100,prop_101_500,prop_501_1000,prop_1001_2000,prop_acima_de_2000,cab_1_100,cab_101_500,cab_501_1000,cab_1001_2000,cab_acima_de_2000,emissao,consulta,bd
1,estado,decl_ate_hoje,1,Bovinos,12,Acre,24874,22970,4887455,1862651,3024804,783564,828998,94961,104609,536848,610199,447278,1480998,11848,9396,1045,437,244,539112,2025758,708718,592787,1021080,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200013,Acrelândia,1474,1380,270111,84128,185983,39442,49506,4633,8528,22653,37829,17400,90120,612,665,83,13,7,30323,143663,57391,17751,20983,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200054,Assis Brasil,610,556,76084,21193,54891,12796,16522,695,1955,4211,10259,3491,26155,292,250,12,2,0,13746,51790,7913,2635,0,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200104,Brasiléia,2305,1943,370589,126019,244570,59189,67598,4387,7608,39081,50177,23362,119187,823,996,96,20,8,40656,209166,62874,24203,33690,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200138,Bujari,1177,1052,368355,165399,202956,61304,57020,11432,7505,60248,49359,32415,89072,560,391,36,31,34,23179,83029,24610,44952,192585,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200179,Capixaba,1094,933,224759,84115,140644,35161,36524,4112,4001,20331,28741,24511,71378,591,266,34,23,19,20472,58793,23870,32867,88757,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200203,Cruzeiro do Sul,615,598,50860,20541,30319,7565,6981,1261,1193,6225,6182,5490,15963,486,98,8,4,2,17214,18567,6165,4197,4717,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200252,Epitaciolândia,1149,1061,182071,72624,109447,28133,30191,3695,4117,23286,20725,17510,54414,565,448,35,8,5,27401,95159,24716,10369,24426,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200302,Feijó,1669,1619,246670,93350,153320,44465,41937,3515,4296,19647,31726,25723,75361,911,617,69,19,3,41431,127708,46003,25308,6220,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200328,Jordão,194,193,14966,5601,9365,2587,2594,330,335,1418,1764,1266,4672,146,46,0,1,0,5328,8168,0,1470,0,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200336,Mâncio Lima,388,379,26288,10038,16250,4589,4643,326,459,2632,2949,2491,8199,321,52,5,1,0,11707,9812,3499,1270,0,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200344,Manoel Urbano,765,721,120098,42665,77433,21259,22827,1498,1869,11487,16397,8421,36340,394,281,30,15,1,19247,60557,19587,18356,2351,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200351,Marechal Thaumaturgo,356,356,17051,6116,10935,2189,3092,531,699,892,1619,2504,5525,329,26,1,0,0,11303,4926,822,0,0,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,decl_ate_hoje,1,Bovinos,1200385,Plácido de Castro,1297,1189,325111,124517,200594,50616,53802,8324,9310,35509,35516,30068,101966,498,549,84,37,21,23546,124815,57413,50355,68982,02/04/2024 09:24,decl_ate_hoje_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
